year,country,city,avg_temp
1832,Brazil,Campinas,18.94
1833,Brazil,Campinas,19.93
1834,Brazil,Campinas,19.21
1835,Brazil,Campinas,18.62
1836,Brazil,Campinas,18.84
1837,Brazil,Campinas,18.28
1838,Brazil,Campinas,18.72
1839,Brazil,Campinas,18.52
1840,Brazil,Campinas,19.20
1841,Brazil,Campinas,18.89
1842,Brazil,Campinas,19.32
1843,Brazil,Campinas,19.46
1844,Brazil,Campinas,
1845,Brazil,Campinas,
1846,Brazil,Campinas,
1847,Brazil,Campinas,
1848,Brazil,Campinas,
1849,Brazil,Campinas,
1850,Brazil,Campinas,
1851,Brazil,Campinas,19.44
1852,Brazil,Campinas,19.60
1853,Brazil,Campinas,19.61
1854,Brazil,Campinas,19.70
1855,Brazil,Campinas,19.70
1856,Brazil,Campinas,18.79
1857,Brazil,Campinas,19.39
1858,Brazil,Campinas,18.39
1859,Brazil,Campinas,19.05
1860,Brazil,Campinas,19.73
1861,Brazil,Campinas,18.99
1862,Brazil,Campinas,19.01
1863,Brazil,Campinas,18.91
1864,Brazil,Campinas,18.99
1865,Brazil,Campinas,18.95
1866,Brazil,Campinas,19.10
1867,Brazil,Campinas,19.21
1868,Brazil,Campinas,20.16
1869,Brazil,Campinas,20.01
1870,Brazil,Campinas,20.03
1871,Brazil,Campinas,19.65
1872,Brazil,Campinas,19.63
1873,Brazil,Campinas,19.84
1874,Brazil,Campinas,19.07
1875,Brazil,Campinas,18.76
1876,Brazil,Campinas,19.00
1877,Brazil,Campinas,19.83
1878,Brazil,Campinas,20.02
1879,Brazil,Campinas,18.78
1880,Brazil,Campinas,19.73
1881,Brazil,Campinas,19.23
1882,Brazil,Campinas,18.62
1883,Brazil,Campinas,18.93
1884,Brazil,Campinas,18.86
1885,Brazil,Campinas,19.80
1886,Brazil,Campinas,18.93
1887,Brazil,Campinas,19.45
1888,Brazil,Campinas,20.12
1889,Brazil,Campinas,20.03
1890,Brazil,Campinas,19.17
1891,Brazil,Campinas,19.56
1892,Brazil,Campinas,19.17
1893,Brazil,Campinas,18.49
1894,Brazil,Campinas,19.48
1895,Brazil,Campinas,19.43
1896,Brazil,Campinas,19.45
1897,Brazil,Campinas,19.51
1898,Brazil,Campinas,19.54
1899,Brazil,Campinas,20.09
1900,Brazil,Campinas,19.71
1901,Brazil,Campinas,19.15
1902,Brazil,Campinas,19.87
1903,Brazil,Campinas,19.44
1904,Brazil,Campinas,19.02
1905,Brazil,Campinas,19.61
1906,Brazil,Campinas,19.49
1907,Brazil,Campinas,19.18
1908,Brazil,Campinas,19.22
1909,Brazil,Campinas,18.98
1910,Brazil,Campinas,19.15
1911,Brazil,Campinas,19.02
1912,Brazil,Campinas,19.32
1913,Brazil,Campinas,19.72
1914,Brazil,Campinas,20.37
1915,Brazil,Campinas,20.12
1916,Brazil,Campinas,19.53
1917,Brazil,Campinas,18.43
1918,Brazil,Campinas,19.24
1919,Brazil,Campinas,19.88
1920,Brazil,Campinas,19.56
1921,Brazil,Campinas,19.37
1922,Brazil,Campinas,19.85
1923,Brazil,Campinas,19.58
1924,Brazil,Campinas,19.13
1925,Brazil,Campinas,19.52
1926,Brazil,Campinas,19.78
1927,Brazil,Campinas,19.56
1928,Brazil,Campinas,20.08
1929,Brazil,Campinas,19.70
1930,Brazil,Campinas,20.09
1931,Brazil,Campinas,19.35
1932,Brazil,Campinas,20.18
1933,Brazil,Campinas,18.97
1934,Brazil,Campinas,19.87
1935,Brazil,Campinas,19.73
1936,Brazil,Campinas,20.01
1937,Brazil,Campinas,19.50
1938,Brazil,Campinas,19.83
